location_key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd
CY,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.6944579999997,772.8905030000001
CZ,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794
DE,81.0,30.6,10.4,3.1,86.51100000000001,48.026,16.0,12.1,,13.2352,4.2488,5033.452147999999,637.885254
DJ,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,,,,70.330894,18.640654
DK,81.0,19.1,8.3,3.6,82.426,51.652,13.2,11.3,2.5,10.3195,4.0099,5800.151367,796.851868
DM,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.59445199999993,136.07626299999998
DO,73.892,13.7,8.6,24.1,197.34900000000002,114.55,43.0,19.0,,1.3802,1.56,433.20858799999996,193.80969199999998
DZ,76.693,15.6,6.7,20.1,102.851,80.672,49.7,14.2,1.9,1.5477,1.7193,258.494293,84.136894
EC,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932
EE,78.5,31.3,4.2,2.1,154.542,56.077,25.0,17.0,5.0,11.1558,4.4833,1300.481689,307.754089
EG,71.825,25.2,17.2,18.1,182.7,105.456,108.9,27.7,,1.9262,0.4521,105.768456,63.548351000000004
ER,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075
ES,83.5,29.3,6.9,2.5,74.53699999999999,37.537,9.9,9.9,,5.7295,3.8723,2506.464844,590.668274
ET,66.24,4.4,4.3,39.1,236.77900000000002,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383
FI,81.8,20.4,5.6,1.4,89.21,44.026,7.2,10.2,4.4,14.7374,3.8118,4205.742676,850.713318
FJ,67.34100000000001,22.6,14.7,21.6,256.995,174.97,99.0,30.6,,3.3752,0.86,188.414322,29.381798
FM,67.755,,11.9,25.6,177.715,146.29399999999998,151.8,26.1,,2.0426,,424.809784,10.210433
FO,82.54878000000001,,4.7,,,,,,,,,,
FR,82.9,32.7,4.8,3.4,95.352,48.187,9.7,10.6,,11.4707,3.2672,4379.727051,411.003204
GA,66.187,,6.0,32.7,238.333,182.317,76.0,14.4,,2.946,0.6819,204.492249,51.442871000000004
GB,81.3,22.3,3.9,3.6,86.10700000000001,55.36,13.8,10.9,,8.1723,2.8117,3858.6743159999996,615.7218019999999
GD,72.384,,10.7,13.7,179.054,117.738,45.3,21.4,,6.2837,1.4067,497.236053,260.620514
GE,73.6,28.8,5.8,8.7,221.61,77.23,101.8,24.9,,4.7293,7.1201,293.053589,160.48173500000001
GH,63.78,3.9,2.5,34.9,254.99099999999999,214.333,203.8,20.8,,4.2001,0.1359,66.749413,26.894471999999997
GL,70.84878,,2.1,,,,,,,,,,
GM,61.735,15.5,1.9,39.0,279.95099999999996,224.40599999999998,237.0,20.4,,1.5447,0.1021,23.272326,5.127221
GN,61.185,,2.4,64.9,260.356,232.889,243.3,22.4,,0.1238,0.0832,33.720112,19.113756
GQ,58.402,,6.0,62.6,334.45300000000003,294.556,177.7,22.0,,0.5024,0.4017,301.150055,231.259186
GR,81.9,43.4,4.7,3.6,93.96,42.478,27.6,12.4,4.3,3.6331,5.4789,1516.587769,527.017395
GT,74.063,,10.0,22.1,201.48,111.16,73.8,14.9,,0.0737,0.3549,259.935028,140.713516
GU,79.859,,18.7,,79.819,39.075,,,,,,,
